nv;Datetime;inv2_P;inv2_Q;inv2_Ep;inv2_Eq
56;2024-01-01 14:15:00;0;0;0;0
57;2024-01-01 14:30:00;0;0;0;0
58;2024-01-01 14:45:00;0;0;0;0
59;2024-01-01 15:00:00;0;0;0;0
60;2024-01-01 15:15:00;0;0;0;0
61;2024-01-01 15:30:00;0;0;0;0
62;2024-01-01 15:45:00;0;0;0;0
63;2024-01-01 16:00:00;0;0;0;0
64;2024-01-01 16:15:00;0;0;0;0
65;2024-01-01 16:30:00;0;0;0;0
66;2024-01-01 16:45:00;0;0;0;0
67;2024-01-01 17:00:00;0;0;0;0
68;2024-01-01 17:15:00;0;0;0;0
69;2024-01-01 17:30:00;0;0;0;0
70;2024-01-01 17:45:00;0;0;0;0
71;2024-01-01 18:00:00;0;0;0;0
72;2024-01-01 18:15:00;0;0;0;0
73;2024-01-01 18:30:00;0;0;0;0
74;2024-01-01 18:45:00;0;0;0;0
75;2024-01-01 19:00:00;0;0;0;0
76;2024-01-01 19:15:00;0;0;0;0
77;2024-01-01 19:30:00;0;0;0;0
78;2024-01-01 19:45:00;0;0;0;0
79;2024-01-01 20:00:00;0;0;0;0
80;2024-01-01 20:15:00;0;0;0;0
81;2024-01-01 20:30:00;0;0;0;0
82;2024-01-01 20:45:00;0;0;0;0
83;2024-01-01 21:00:00;0;0;0;0
84;2024-01-01 21:15:00;0;0;0;0
85;2024-01-01 21:30:00;0;0;0;0
86;2024-01-01 21:45:00;0;0;0;0
87;2024-01-01 22:00:00;0;0;0;0
88;2024-01-01 22:15:00;0;0;0;0
89;2024-01-01 22:30:00;0;0;0;0
90;2024-01-01 22:45:00;0;0;0;0
91;2024-01-01 23:00:00;0;0;0;0
92;2024-01-01 23:15:00;0;0;0;0
93;2024-01-01 23:30:00;0;0;0;0
94;2024-01-01 23:45:00;0;0;0;0
95;2024-01-02 00:00:00;0;0;0;0
96;2024-01-02 00:15:00;0;0;0;0
97;2024-01-02 00:30:00;0;0;0;0
98;2024-01-02 00:45:00;0;0;0;0
99;2024-01-02 01:00:00;0;0;0;0
100;2024-01-02 01:15:00;0;0;0;0
101;2024-01-02 01:30:00;0;0;0;0
102;2024-01-02 01:45:00;0;0;0;0
103;2024-01-02 02:00:00;0;0;0;0
104;2024-01-02 02:15:00;0;0;0;0
105;2024-01-02 02:30:00;0;0;0;0
106;2024-01-02 02:45:00;0;0;0;0
107;2024-01-02 03:00:00;0;0;0;0
108;2024-01-02 03:15:00;0;0;0;0
109;2024-01-02 03:30:00;0;0;0;0
110;2024-01-02 03:45:00;0;0;0;0
111;2024-01-02 04:00:00;0;0;0;0
112;2024-01-02 04:15:00;0;0;0;0
113;2024-01-02 04:30:00;0;0;0;0
114;2024-01-02 04:45:00;0;0;0;0
115;2024-01-02 05:00:00;0;0;0;0
116;2024-01-02 05:15:00;0;0;0;0
117;2024-01-02 05:30:00;0;0;0;0
118;2024-01-02 05:45:00;0;0;0;0
119;2024-01-02 06:00:00;0;0;0;0
120;2024-01-02 06:15:00;0;0;0;0
121;2024-01-02 06:30:00;0;0;0;0
122;2024-01-02 06:45:00;0;0;0;0
123;2024-01-02 07:00:00;0;0;0;0
124;2024-01-02 07:15:00;0;0;0;0
125;2024-01-02 07:30:00;0;0;0;0
126;2024-01-02 07:45:00;0;0;0;0
127;2024-01-02 08:00:00;0;0;0;0
128;2024-01-02 08:15:00;0;0;0;0
129;2024-01-02 08:30:00;0;0;0;0
130;2024-01-02 08:45:00;0;0;0;0
131;2024-01-02 09:00:00;0;0;0;0
132;2024-01-02 09:15:00;0;0;0;0
133;2024-01-02 09:30:00;0;0;0;0
134;2024-01-02 09:45:00;0;0;0;0
135;2024-01-02 10:00:00;0;0;0;0
136;2024-01-02 10:15:00;0;0;0;0
137;2024-01-02 10:30:00;0;0;0;0
138;2024-01-02 10:45:00;0;0;0;0
139;2024-01-02 11:00:00;0;0;0;0
140;2024-01-02 11:15:00;0;0;0;0
141;2024-01-02 11:30:00;0;0;0;0
142;2024-01-02 11:45:00;0;0;0;0
143;2024-01-02 12:00:00;0;0;0;0
144;2024-01-02 12:15:00;0;0;0;0
145;2024-01-02 12:30:00;0;0;0;0
146;2024-01-02 12:45:00;0;0;0;0
147;2024-01-02 13:00:00;0;0;0;0
148;2024-01-02 13:15:00;0;0;0;0
149;2024-01-02 13:30:00;0;0;0;0
150;2024-01-02 13:45:00;0;0;0;0
151;2024-01-02 14:00:00;0;0;0;0
152;2024-01-02 14:15:00;0;0;0;0
153;2024-01-02 14:30:00;0;0;0;0
154;2024-01-02 14:45:00;0;0;0;0
155;2024-01-02 15:00:00;0;0;0;0
156;2024-01-02 15:15:00;0;0;0;0
157;2024-01-02 15:30:00;0;0;0;0
158;2024-01-02 15:45:00;0;0;0;0
159;2024-01-02 16:00:00;0;0;0;0
160;2024-01-02 16:15:00;0;0;0;0
161;2024-01-02 16:30:00;0;0;0;0
162;2024-01-02 16:45:00;0;0;0;0
163;2024-01-02 17:00:00;0;0;0;0
164;2024-01-02 17:15:00;0;0;0;0
165;2024-01-02 17:30:00;0;0;0;0
166;2024-01-02 17:45:00;0;0;0;0
167;2024-01-02 18:00:00;0;0;0;0
168;2024-01-02 18:15:00;0;0;0;0
169;2024-01-02 18:30:00;0;0;0;0
170;2024-01-02 18:45:00;0;0;0;0
171;2024-01-02 19:00:00;0;0;0;0
172;2024-01-02 19:15:00;0;0;0;0
173;2024-01-02 19:30:00;0;0;0;0
174;2024-01-02 19:45:00;0;0;0;0
175;2024-01-02 20:00:00;0;0;0;0
176;2024-01-02 20:15:00;0;0;0;0
177;2024-01-02 20:30:00;0;0;0;0
178;2024-01-02 20:45:00;0;0;0;0
179;2024-01-02 21:00:00;0;0;0;0
180;2024-01-02 21:15:00;0;0;0;0
181;2024-01-02 21:30:00;0;0;0;0
182;2024-01-02 21:45:00;0;0;0;0
183;2024-01-02 22:00:00;0;0;0;0
184;2024-01-02 22:15:00;0;0;0;0
185;2024-01-02 22:30:00;0;0;0;0
186;2024-01-02 22:45:00;0;0;0;0
187;2024-01-02 23:00:00;0;0;0;0
188;2024-01-02 23:15:00;0;0;0;0
189;2024-01-02 23:30:00;0;0;0;0
190;2024-01-02 23:45:00;0;0;0;0
191;2024-01-03 00:00:00;0;0;0;0
192;2024-01-03 00:15:00;0;0;0;0
193;2024-01-03 00:30:00;0;0;0;0
194;2024-01-03 00:45:00;0;0;0;0
195;2024-01-03 01:00:00;0;0;0;0
196;2024-01-03 01:15:00;0;0;0;0
197;2024-01-03 01:30:00;0;0;0;0
198;2024-01-03 01:45:00;0;0;0;0
199;2024-01-03 02:00:00;0;0;0;0
200;2024-01-03 02:15:00;0;0;0;0
201;2024-01-03 02:30:00;0;0;0;0
202;2024-01-03 02:45:00;0;0;0;0
203;2024-01-03 03:00:00;0;0;0;0
204;2024-01-03 03:15:00;0;0;0;0
205;2024-01-03 03:30:00;0;0;0;0
206;2024-01-03 03:45:00;0;0;0;0
207;2024-01-03 04:00:00;0;0;0;0
208;2024-01-03 04:15:00;0;0;0;0
209;2024-01-03 04:30:00;0;0;0;0
210;2024-01-03 04:45:00;0;0;0;0
211;2024-01-03 05:00:00;0;0;0;0
212;2024-01-03 05:15:00;0;0;0;0
213;2024-01-03 05:30:00;0;0;0;0
214;2024-01-03 05:45:00;0;0;0;0
215;2024-01-03 06:00:00;0;0;0;0
216;2024-01-03 06:15:00;0;0;0;0
217;2024-01-03 06:30:00;0;0;0;0
218;2024-01-03 06:45:00;0;0;0;0
219;2024-01-03 07:00:00;0;0;0;0
220;2024-01-03 07:15:00;0;0;0;0
221;2024-01-03 07:30:00;0;0;0;0
222;2024-01-03 07:45:00;0;0;0;0
223;2024-01-03 08:00:00;0;0;0;0
224;2024-01-03 08:15:00;0;0;0;0
225;2024-01-03 08:30:00;0;0;0;0
226;2024-01-03 08:45:00;0;0;0;0
227;2024-01-03 09:00:00;0;0;0;0
228;2024-01-03 09:15:00;0;0;0;0
229;2024-01-03 09:30:00;0;0;0;0
230;2024-01-03 09:45:00;0;0;0;0
231;2024-01-03 10:00:00;0;0;0;0
232;2024-01-03 10:15:00;0;0;0;0
233;2024-01-03 10:30:00;0;0;0;0
234;2024-01-03 10:45:00;0;0;0;0
235;2024-01-03 11:00:00;0;0;0;0
236;2024-01-03 11:15:00;0;0;0;0
237;2024-01-03 11:30:00;0;0;0;0
238;2024-01-03 11:45:00;0;0;0;0
239;2024-01-03 12:00:00;0;0;0;0
240;2024-01-03 12:15:00;0;0;0;0
241;2024-01-03 12:30:00;0;0;0;0
242;2024-01-03 12:45:00;0;0;0;0
243;2024-01-03 13:00:00;0;0;0;0
244;2024-01-03 13:15:00;0;0;0;0
245;2024-01-03 13:30:00;0;0;0;0
246;2024-01-03 13:45:00;0;0;0;0
247;2024-01-03 14:00:00;0;0;0;0
248;2024-01-03 14:15:00;0;0;0;0
249;2024-01-03 14:30:00;0;0;0;0
250;2024-01-03 14:45:00;0;0;0;0
251;2024-01-03 15:00:00;0;0;0;0
252;2024-01-03 15:15:00;0;0;0;0
253;2024-01-03 15:30:00;0;0;0;0
254;2024-01-03 15:45:00;0;0;0;0
255;2024-01-03 16:00:00;0;0;0;0
256;2024-01-03 16:15:00;0;0;0;0
257;2024-01-03 16:30:00;0;0;0;0
258;2024-01-03 16:45:00;0;0;0;0
259;2024-01-03 17:00:00;0;0;0;0
260;2024-01-03 17:15:00;0;0;0;0
261;2024-01-03 17:30:00;0;0;0;0
262;2024-01-03 17:45:00;0;0;0;0
263;2024-01-03 18:00:00;0;0;0;0
264;2024-01-03 18:15:00;0;0;0;0
265;2024-01-03 18:30:00;0;0;0;0
266;2024-01-03 18:45:00;0;0;0;0
267;2024-01-03 19:00:00;0;0;0;0
268;2024-01-03 19:15:00;0;0;0;0
269;2024-01-03 19:30:00;0;0;0;0
270;2024-01-03 19:45:00;0;0;0;0
271;2024-01-03 20:00:00;0;0;0;0
272;2024-01-03 20:15:00;0;0;0;0
273;2024-01-03 20:30:00;0;0;0;0
274;2024-01-03 20:45:00;0;0;0;0
275;2024-01-03 21:00:00;0;0;0;0
276;2024-01-03 21:15:00;0;0;0;0
277;2024-01-03 21:30:00;0;0;0;0
278;2024-01-03 21:45:00;0;0;0;0
279;2024-01-03 22:00:00;0;0;0;0
280;2024-01-03 22:15:00;0;0;0;0
281;2024-01-03 22:30:00;0;0;0;0
282;2024-01-03 22:45:00;0;0;0;0
283;2024-01-03 23:00:00;0;0;0;0
284;2024-01-03 23:15:00;0;0;0;0
285;2024-01-03 23:30:00;0;0;0;0
286;2024-01-03 23:45:00;0;0;0;0
287;2024-01-04 00:00:00;0;0;0;0
288;2024-01-04 00:15:00;0;0;0;0
289;2024-01-04 00:30:00;0;0;0;0
290;2024-01-04 00:45:00;0;0;0;0
291;2024-01-04 01:00:00;0;0;0;0
292;2024-01-04 01:15:00;0;0;0;0
293;2024-01-04 01:30:00;0;0;0;0
294;2024-01-04 01:45:00;0;0;0;0
295;2024-01-04 02:00:00;0;0;0;0
296;2024-01-04 02:15:00;0;0;0;0
297;2024-01-04 02:30:00;0;0;0;0
298;2024-01-04 02:45:00;0;0;0;0
299;2024-01-04 03:00:00;0;0;0;0
300;2024-01-04 03:15:00;0;0;0;0
301;2024-01-04 03:30:00;0;0;0;0
302;2024-01-04 03:45:00;0;0;0;0
303;2024-01-04 04:00:00;0;0;0;0
304;2024-01-04 04:15:00;0;0;0;0
305;2024-01-04 04:30:00;0;0;0;0
306;2024-01-04 04:45:00;0;0;0;0
307;2024-01-04 05:00:00;0;0;0;0
308;2024-01-04 05:15:00;0;0;0;0
309;2024-01-04 05:30:00;0;0;0;0
310;2024-01-04 05:45:00;0;0;0;0
311;2024-01-04 06:00:00;0;0;0;0
312;2024-01-04 06:15:00;0;0;0;0
313;2024-01-04 06:30:00;0;0;0;0
314;2024-01-04 06:45:00;0;0;0;0
315;2024-01-04 07:00:00;0;0;0;0
316;2024-01-04 07:15:00;0;0;0;0
317;2024-01-04 07:30:00;0;0;0;0
318;2024-01-04 07:45:00;0;0;0;0
319;2024-01-04 08:00:00;0;0;0;0
320;2024-01-04 08:15:00;0;0;0;0
321;2024-01-04 08:30:00;0;0;0;0
322;2024-01-04 08:45:00;0;0;0;0
323;2024-01-04 09:00:00;0;0;0;0
324;2024-01-04 09:15:00;0;0;0;0
325;2024-01-04 09:30:00;0;0;0;0
326;2024-01-04 09:45:00;0;0;0;0
327;2024-01-04 10:00:00;0;0;0;0
328;2024-01-04 10:15:00;0;0;0;0
329;2024-01-04 10:30:00;0;0;0;0
330;2024-01-04 10:45:00;0;0;0;0
331;2024-01-04 11:00:00;0;0;0;0
332;2024-01-04 11:15:00;0;0;0;0
333;2024-01-04 11:30:00;0;0;0;0
334;2024-01-04 11:45:00;0;0;0;0
335;2024-01-04 12:00:00;0;0;0;0
336;2024-01-04 12:15:00;0;0;0;0
337;2024-01-04 12:30:00;0;0;0;0
338;2024-01-04 12:45:00;0;0;0;0
339;2024-01-04 13:00:00;0;0;0;0
340;2024-01-04 13:15:00;0;0;0;0
341;2024-01-04 13:30:00;0;0;0;0
342;2024-01-04 13:45:00;0;0;0;0
343;2024-01-04 14:00:00;0;0;0;0
344;2024-01-04 14:15:00;0;0;0;0
345;2024-01-04 14:30:00;0;0;0;0
346;2024-01-04 14:45:00;0;0;0;0
347;2024-01-04 15:00:00;0;0;0;0
348;2024-01-04 15:15:00;0;0;0;0
349;2024-01-04 15:30:00;0;0;0;0
350;2024-01-04 15:45:00;0;0;0;0
351;2024-01-04 16:00:00;0;0;0;0
352;2024-01-04 16:15:00;0;0;0;0
353;2024-01-04 16:30:00;0;0;0;0
354;2024-01-04 16:45:00;0;0;0;0
355;2024-01-04 17:00:00;0;0;0;0
356;2024-01-04 17:15:00;0;0;0;0
357;2024-01-04 17:30:00;0;0;0;0
358;2024-01-04 17:45:00;0;0;0;0
359;2024-01-04 18:00:00;0;0;0;0
360;2024-01-04 18:15:00;0;0;0;0
361;2024-01-04 18:30:00;0;0;0;0
362;2024-01-04 18:45:00;0;0;0;0
363;2024-01-04 19:00:00;0;0;0;0
364;2024-01-04 19:15:00;0;0;0;0
365;2024-01-04 19:30:00;0;0;0;0
366;2024-01-04 19:45:00;0;0;0;0
367;2024-01-04 20:00:00;0;0;0;0
368;2024-01-04 20:15:00;0;0;0;0
369;2024-01-04 20:30:00;0;0;0;0
370;2024-01-04 20:45:00;0;0;0;0
371;2024-01-04 21:00:00;0;0;0;0
372;2024-01-04 21:15:00;0;0;0;0
373;2024-01-04 21:30:00;0;0;0;0
374;2024-01-04 21:45:00;0;0;0;0
375;2024-01-04 22:00:00;0;0;0;0
376;2024-01-04 22:15:00;0;0;0;0
377;2024-01-04 22:30:00;0;0;0;0
378;2024-01-04 22:45:00;0;0;0;0
379;2024-01-04 23:00:00;0;0;0;0
380;2024-01-04 23:15:00;0;0;0;0
381;2024-01-04 23:30:00;0;0;0;0
382;2024-01-04 23:45:00;0;0;0;0
383;2024-01-05 00:00:00;0;0;0;0
384;2024-01-05 00:15:00;0;0;0;0
385;2024-01-05 00:30:00;0;0;0;0
386;2024-01-05 00:45:00;0;0;0;0
387;2024-01-05 01:00:00;0;0;0;0
388;2024-01-05 01:15:00;0;0;0;0
389;2024-01-05 01:30:00;0;0;0;0
390;2024-01-05 01:45:00;0;0;0;0
391;2024-01-05 02:00:00;0;0;0;0
392;2024-01-05 02:15:00;0;0;0;0
393;2024-01-05 02:30:00;0;0;0;0
394;2024-01-05 02:45:00;0;0;0;0
395;2024-01-05 03:00:00;0;0;0;0
396;2024-01-05 03:15:00;0;0;0;0
397;2024-01-05 03:30:00;0;0;0;0
398;2024-01-05 03:45:00;0;0;0;0
399;2024-01-05 04:00:00;0;0;0;0
400;2024-01-05 04:15:00;0;0;0;0
401;2024-01-05 04:30:00;0;0;0;0
402;2024-01-05 04:45:00;0;0;0;0
403;2024-01-05 05:00:00;0;0;0;0
404;2024-01-05 05:15:00;0;0;0;0
405;2024-01-05 05:30:00;0;0;0;0
406;2024-01-05 05:45:00;0;0;0;0
407;2024-01-05 06:00:00;0;0;0;0
408;2024-01-05 06:15:00;0;0;0;0
409;2024-01-05 06:30:00;0;0;0;0
410;2024-01-05 06:45:00;0;0;0;0
411;2024-01-05 07:00:00;0;0;0;0
412;2024-01-05 07:15:00;0;0;0;0
413;2024-01-05 07:30:00;0;0;0;0
414;2024-01-05 07:45:00;0;0;0;0
415;2024-01-05 08:00:00;0;0;0;0
416;2024-01-05 08:15:00;0;0;0;0
417;2024-01-05 08:30:00;0;0;0;0
418;2024-01-05 08:45:00;0;0;0;0
419;2024-01-05 09:00:00;0;0;0;0
420;2024-01-05 09:15:00;0;0;0;0
421;2024-01-05 09:30:00;0;0;0;0
422;2024-01-05 09:45:00;0;0;0;0
423;2024-01-05 10:00:00;0;0;0;0
424;2024-01-05 10:15:00;0;0;0;0
425;2024-01-05 10:30:00;0;0;0;0
426;2024-01-05 10:45:00;0;0;0;0
427;2024-01-05 11:00:00;0;0;0;0
428;2024-01-05 11:15:00;0;0;0;0
429;2024-01-05 11:30:00;0;0;0;0
430;2024-01-05 11:45:00;0;0;0;0
431;2024-01-05 12:00:00;0;0;0;0
432;2024-01-05 12:15:00;0;0;0;0
433;2024-01-05 12:30:00;0;0;0;0
434;2024-01-05 12:45:00;0;0;0;0
435;2024-01-05 13:00:00;0;0;0;0
436;2024-01-05 13:15:00;0;0;0;0
437;2024-01-05 13:30:00;0;0;0;0
438;2024-01-05 13:45:00;0;0;0;0
439;2024-01-05 14:00:00;0;0;0;0
440;2024-01-05 14:15:00;0;0;0;0
441;2024-01-05 14:30:00;0;0;0;0
442;2024-01-05 14:45:00;0;0;0;0
443;2024-01-05 15:00:00;0;0;0;0
444;2024-01-05 15:15:00;0;0;0;0
445;2024-01-05 15:30:00;0;0;0;0
446;2024-01-05 15:45:00;0;0;0;0
447;2024-01-05 16:00:00;0;0;0;0
448;2024-01-05 16:15:00;0;0;0;0
449;2024-01-05 16:30:00;0;0;0;0
450;2024-01-05 16:45:00;0;0;0;0
451;2024-01-05 17:00:00;0;0;0;0
452;2024-01-05 17:15:00;0;0;0;0
453;2024-01-05 17:30:00;0;0;0;0
454;2024-01-05 17:45:00;0;0;0;0
455;2024-01-05 18:00:00;0;0;0;0
456;2024-01-05 18:15:00;0;0;0;0
457;2024-01-05 18:30:00;0;0;0;0
458;2024-01-05 18:45:00;0;0;0;0
459;2024-01-05 19:00:00;0;0;0;0
460;2024-01-05 19:15:00;0;0;0;0
461;2024-01-05 19:30:00;0;0;0;0
462;2024-01-05 19:45:00;0;0;0;0
463;2024-01-05 20:00:00;0;0;0;0
464;2024-01-05 20:15:00;0;0;0;0
465;2024-01-05 20:30:00;0;0;0;0
466;2024-01-05 20:45:00;0;0;0;0
467;2024-01-05 21:00:00;0;0;0;0
468;2024-01-05 21:15:00;0;0;0;0
469;2024-01-05 21:30:00;0;0;0;0
470;2024-01-05 21:45:00;0;0;0;0
471;2024-01-05 22:00:00;0;0;0;0
472;2024-01-05 22:15:00;0;0;0;0
473;2024-01-05 22:30:00;0;0;0;0
474;2024-01-05 22:45:00;0;0;0;0
475;2024-01-05 23:00:00;0;0;0;0
476;2024-01-05 23:15:00;0;0;0;0
477;2024-01-05 23:30:00;0;0;0;0
478;2024-01-05 23:45:00;0;0;0;0
479;2024-01-06 00:00:00;0;0;0;0
480;2024-01-06 00:15:00;0;0;0;0
481;2024-01-06 00:30:00;0;0;0;0
482;2024-01-06 00:45:00;0;0;0;0
483;2024-01-06 01:00:00;0;0;0;0
484;2024-01-06 01:15:00;0;0;0;0
485;2024-01-06 01:30:00;0;0;0;0
486;2024-01-06 01:45:00;0;0;0;0
487;2024-01-06 02:00:00;0;0;0;0
488;2024-01-06 02:15:00;0;0;0;0
489;2024-01-06 02:30:00;0;0;0;0
490;2024-01-06 02:45:00;0;0;0;0
491;2024-01-06 03:00:00;0;0;0;0
492;2024-01-06 03:15:00;0;0;0;0
493;2024-01-06 03:30:00;0;0;0;0
494;2024-01-06 03:45:00;0;0;0;0
495;2024-01-06 04:00:00;0;0;0;0
496;2024-01-06 04:15:00;0;0;0;0
497;2024-01-06 04:30:00;0;0;0;0
498;2024-01-06 04:45:00;0;0;0;0
499;2024-01-06 05:00:00;0;0;0;0
500;2024-01-06 05:15:00;0;0;0;0
501;2024-01-06 05:30:00;0;0;0;0
502;2024-01-06 05:45:00;0;0;0;0
503;2024-01-06 06:00:00;0;0;0;0
504;2024-01-06 06:15:00;0;0;0;0
505;2024-01-06 06:30:00;0;0;0;0
506;2024-01-06 06:45:00;0;0;0;0
507;2024-01-06 07:00:00;0;0;0;0
508;2024-01-06 07:15:00;0;0;0;0
509;2024-01-06 07:30:00;0;0;0;0
510;2024-01-06 07:45:00;0;0;0;0
511;2024-01-06 08:00:00;0;0;0;0
512;2024-01-06 08:15:00;0;0;0;0
513;2024-01-06 08:30:00;0;0;0;0
514;2024-01-06 08:45:00;0;0;0;0
515;2024-01-06 09:00:00;0;0;0;0
516;2024-01-06 09:15:00;0;0;0;0
517;2024-01-06 09:30:00;0;0;0;0
518;2024-01-06 09:45:00;0;0;0;0
519;2024-01-06 10:00:00;0;0;0;0
520;2024-01-06 10:15:00;0;0;0;0
521;2024-01-06 10:30:00;0;0;0;0
522;2024-01-06 10:45:00;0;0;0;0
523;2024-01-06 11:00:00;0;0;0;0
524;2024-01-06 11:15:00;0;0;0;0
525;2024-01-06 11:30:00;0;0;0;0
526;2024-01-06 11:45:00;0;0;0;0
527;2024-01-06 12:00:00;0;0;0;0
528;2024-01-06 12:15:00;0;0;0;0
529;2024-01-06 12:30:00;0;0;0;0
530;2024-01-06 12:45:00;0;0;0;0
531;2024-01-06 13:00:00;0;0;0;0
532;2024-01-06 13:15:00;0;0;0;0
533;2024-01-06 13:30:00;0;0;0;0
534;2024-01-06 13:45:00;0;0;0;0
535;2024-01-06 14:00:00;0;0;0;0
536;2024-01-06 14:15:00;0;0;0;0
537;2024-01-06 14:30:00;0;0;0;0
538;2024-01-06 14:45:00;0;0;0;0
539;2024-01-06 15:00:00;0;0;0;0
540;2024-01-06 15:15:00;0;0;0;0
541;2024-01-06 15:30:00;0;0;0;0
542;2024-01-06 15:45:00;0;0;0;0
543;2024-01-06 16:00:00;0;0;0;0
544;2024-01-06 16:15:00;0;0;0;0
545;2024-01-06 16:30:00;0;0;0;0
546;2024-01-06 16:45:00;0;0;0;0
547;2024-01-06 17:00:00;0;0;0;0
548;2024-01-06 17:15:00;0;0;0;0
549;2024-01-06 17:30:00;0;0;0;0
550;2024-01-06 17:45:00;0;0;0;0
551;2024-01-06 18:00:00;0;0;0;0
552;2024-01-06 18:15:00;0;0;0;0
553;2024-01-06 18:30:00;0;0;0;0
554;2024-01-06 18:45:00;0;0;0;0
555;2024-01-06 19:00:00;0;0;0;0
556;2024-01-06 19:15:00;0;0;0;0
557;2024-01-06 19:30:00;53.34084518;0;0;0
558;2024-01-06 19:45:00;78.66121212;0;16.50025716;0
559;2024-01-06 20:00:00;79.81538198;0;19.80957426;0
560;2024-01-06 20:15:00;78.19873776;0;19.75176497;0
561;2024-01-06 20:30:00;65.09807544;0;17.91210165;0
562;2024-01-06 20:45:00;58.9587858;0;15.50710765;0
563;2024-01-06 21:00:00;46.2035318;0;13.1452897;0
564;2024-01-06 21:15:00;46.66109209;0;11.60807799;0
565;2024-01-06 21:30:00;57.8191668;0;13.06003236;0
566;2024-01-06 21:45:00;66.39701496;0;15.52702272;0
567;2024-01-06 22:00:00;48.22155334;0;14.32732104;0
568;2024-01-06 22:15:00;10.94759742;0;7.396143844;0
569;2024-01-06 22:30:00;10.49066554;0;2.67978287;0
570;2024-01-06 22:45:00;10.33031386;0;2.602622426;0
571;2024-01-06 23:00:00;10.7950882;0;2.640675258;0
572;2024-01-06 23:15:00;8.448268451;0;2.405419581;0
573;2024-01-06 23:30:00;8.509380941;0;2.119706174;0
574;2024-01-06 23:45:00;8.625419145;0;2.141850011;0
575;2024-01-07 00:00:00;8.402428231;0;2.128480922;0
576;2024-01-07 00:15:00;8.456091913;0;2.107315018;0
577;2024-01-07 00:30:00;8.350830303;0;2.100865277;0
578;2024-01-07 00:45:00;8.476762439;0;2.103449093;0
579;2024-01-07 01:00:00;8.390746577;0;2.108438627;0
580;2024-01-07 01:15:00;8.429753146;0;2.102562465;0
581;2024-01-07 01:30:00;8.51930734;0;2.118632561;0
582;2024-01-07 01:45:00;8.656033334;0;2.146917584;0
583;2024-01-07 02:00:00;8.52724325;0;2.147909573;0
584;2024-01-07 02:15:00;8.510060932;0;2.129663023;0
585;2024-01-07 02:30:00;8.325273026;0;2.104416745;0
586;2024-01-07 02:45:00;8.520392782;0;2.105708226;0
587;2024-01-07 03:00:00;8.865491631;0;2.173235552;0
588;2024-01-07 03:15:00;8.472740538;0;2.167279021;0
589;2024-01-07 03:30:00;8.448483113;0;2.115152956;0
590;2024-01-07 03:45:00;8.571250455;0;2.127466696;0
591;2024-01-07 04:00:00;8.366843202;0;2.117261707;0
